CBSA Code,CBSA,Year,Quarter,Properties,Units,Occupancy,Annual Rent Growth, Units ,Annual Inventory Growth,Construction vs. Inventory
12580,"Baltimore, MD",2016,2Q2016,85,"13,928",92.5%,3.5%,"  13,928 ",,0.9%
12580,"Baltimore, MD",2016,3Q2016,84,"13,845",93.1%,4.0%,"  13,845 ",,2.4%
12580,"Baltimore, MD",2016,4Q2016,84,"13,837",93.6%,3.5%,"  13,837 ",,1.7%
12580,"Baltimore, MD",2017,1Q2017,84,"13,841",93.2%,3.7%,"  13,841 ",,3.3%
12580,"Baltimore, MD",2017,2Q2017,83,"13,801",94.0%,4.1%,"  13,801 ",,5.0%
12580,"Baltimore, MD",2017,3Q2017,83,"13,800",93.6%,3.4%,"  13,800 ",,6.2%
12580,"Baltimore, MD",2017,4Q2017,83,"13,864",92.9%,3.1%,"  13,864 ",,6.4%
12580,"Baltimore, MD",2018,1Q2018,83,"13,864",92.9%,2.7%,"  13,864 ",,6.7%
12580,"Baltimore, MD",2018,2Q2018,84,"14,031",91.9%,3.0%,"  14,031 ",,7.2%
12580,"Baltimore, MD",2018,3Q2018,84,"14,049",92.5%,3.4%,"  14,049 ",,7.4%
12580,"Baltimore, MD",2018,4Q2018,84,"14,167",92.0%,3.7%,"  14,167 ",,6.6%
12580,"Baltimore, MD",2019,1Q2019,84,"14,156",92.1%,4.3%,"  14,156 ",,6.6%
12580,"Baltimore, MD",2019,2Q2019,87,"14,428",90.6%,3.5%,"  14,428 ",,4.8%
12580,"Baltimore, MD",2019,3Q2019,87,"14,533",90.6%,3.1%,"  14,533 ",,4.0%
14460,"Boston, MA",2005,4Q2005,127,"14,413",93.1%,,"  14,413 ",,3.5%
14460,"Boston, MA",2006,1Q2006,128,"14,710",92.0%,,"  14,710 ",,1.4%
14460,"Boston, MA",2006,2Q2006,128,"14,814",93.4%,,"  14,814 ",,2.0%
14460,"Boston, MA",2006,3Q2006,128,"14,922",94.3%,,"  14,922 ",,3.9%
14460,"Boston, MA",2006,4Q2006,128,"14,925",94.2%,4.3%,"  14,925 ",,4.4%
14460,"Boston, MA",2007,1Q2007,128,"14,924",95.6%,4.5%,"  14,924 ",,4.4%
14460,"Boston, MA",2007,2Q2007,127,"15,063",95.0%,7.0%,"  15,063 ",,4.7%
14460,"Boston, MA",2007,3Q2007,128,"15,237",93.9%,5.3%,"  15,237 ",,5.1%
14460,"Boston, MA",2007,4Q2007,130,"15,440",93.6%,5.5%,"  15,440 ",,4.9%
14460,"Boston, MA",2008,1Q2008,131,"15,543",93.3%,4.0%,"  15,543 ",,5.4%
14460,"Boston, MA",2008,2Q2008,132,"15,610",93.1%,3.5%,"  15,610 ",,5.6%
14460,"Boston, MA",2008,3Q2008,133,"15,771",92.6%,3.5%,"  15,771 ",,4.5%
14460,"Boston, MA",2008,4Q2008,134,"15,897",92.2%,2.3%,"  15,897 ",,5.8%
14460,"Boston, MA",2009,1Q2009,134,"15,906",92.4%,3.4%,"  15,906 ",,6.9%
14460,"Boston, MA",2009,2Q2009,136,"16,220",91.4%,3.6%,"  16,220 ",,4.8%
14460,"Boston, MA",2009,3Q2009,137,"16,264",91.6%,3.5%,"  16,264 ",,4.9%
14460,"Boston, MA",2009,4Q2009,139,"16,451",91.2%,3.7%,"  16,451 ",,4.0%
14460,"Boston, MA",2010,1Q2010,139,"16,652",90.8%,2.8%,"  16,652 ",,2.9%
14460,"Boston, MA",2010,2Q2010,140,"16,835",90.4%,3.1%,"  16,835 ",,3.2%
14460,"Boston, MA",2010,3Q2010,141,"17,051",90.1%,3.2%,"  17,051 ",,1.9%
14460,"Boston, MA",2010,4Q2010,141,"17,047",91.3%,2.4%,"  17,047 ",,2.7%
14460,"Boston, MA",2011,1Q2011,141,"17,032",91.5%,3.4%,"  17,032 ",,2.7%
14460,"Boston, MA",2011,2Q2011,143,"17,161",90.9%,3.3%,"  17,161 ",,1.9%
14460,"Boston, MA",2011,3Q2011,143,"17,157",92.0%,3.1%,"  17,157 ",,3.1%
14460,"Boston, MA",2011,4Q2011,144,"17,348",91.9%,3.4%,"  17,348 ",,1.9%
14460,"Boston, MA",2012,1Q2012,144,"17,347",91.7%,3.2%,"  17,347 ",,2.7%
14460,"Boston, MA",2012,2Q2012,146,"17,525",91.6%,3.5%,"  17,525 ",,2.1%
14460,"Boston, MA",2012,3Q2012,146,"17,522",92.2%,3.7%,"  17,522 ",,2.4%
14460,"Boston, MA",2012,4Q2012,148,"17,587",93.0%,3.9%,"  17,587 ",,3.2%
14460,"Boston, MA",2013,1Q2013,149,"17,705",92.3%,3.7%,"  17,705 ",,3.6%
14460,"Boston, MA",2013,2Q2013,150,"17,757",91.9%,2.9%,"  17,757 ",,4.2%
14460,"Boston, MA",2013,3Q2013,152,"17,954",91.5%,2.8%,"  17,954 ",,5.3%
14460,"Boston, MA",2013,4Q2013,154,"18,107",91.2%,2.6%,"  18,107 ",,5.2%
14460,"Boston, MA",2014,1Q2014,155,"18,249",91.7%,2.4%,"  18,249 ",,4.6%
14460,"Boston, MA",2014,2Q2014,156,"18,296",91.7%,3.0%,"  18,296 ",,6.0%
14460,"Boston, MA",2014,3Q2014,158,"18,475",92.1%,3.1%,"  18,475 ",,6.2%
14460,"Boston, MA",2014,4Q2014,160,"18,685",91.6%,2.8%,"  18,685 ",,7.0%
14460,"Boston, MA",2015,1Q2015,163,"18,986",90.9%,1.7%,"  18,986 ",,5.5%
14460,"Boston, MA",2015,2Q2015,165,"19,157",90.8%,1.1%,"  19,157 ",,4.7%
14460,"Boston, MA",2015,3Q2015,168,"19,359",90.9%,1.0%,"  19,359 ",,5.2%
14460,"Boston, MA",2015,4Q2015,170,"19,521",91.2%,1.1%,"  19,521 ",,6.3%
14460,"Boston, MA",2016,1Q2016,169,"19,511",91.1%,3.4%,"  19,511 ",,6.4%
14460,"Boston, MA",2016,2Q2016,170,"19,746",90.4%,3.6%,"  19,746 ",,6.3%
14460,"Boston, MA",2016,3Q2016,174,"20,178",90.7%,3.5%,"  20,178 ",,5.4%
14460,"Boston, MA",2016,4Q2016,175,"20,361",90.9%,3.7%,"  20,361 ",,4.8%
14460,"Boston, MA",2017,1Q2017,177,"20,560",90.6%,1.8%,"  20,560 ",,4.7%
14460,"Boston, MA",2017,2Q2017,180,"20,771",89.5%,1.9%,"  20,771 ",,4.2%
14460,"Boston, MA",2017,3Q2017,181,"20,882",90.4%,2.0%,"  20,882 ",,5.1%
14460,"Boston, MA",2017,4Q2017,184,"21,142",90.7%,1.9%,"  21,142 ",,5.5%
14460,"Boston, MA",2018,1Q2018,185,"21,219",90.2%,1.5%,"  21,219 ",,5.0%
14460,"Boston, MA",2018,2Q2018,186,"21,380",90.1%,2.1%,"  21,380 ",,5.2%
14460,"Boston, MA",2018,3Q2018,188,"21,619",90.6%,2.5%,"  21,619 ",,6.0%
14460,"Boston, MA",2018,4Q2018,188,"21,705",91.0%,2.7%,"  21,705 ",,5.5%
14460,"Boston, MA",2019,1Q2019,188,"21,682",91.0%,3.6%,"  21,682 ",,6.8%
14460,"Boston, MA",2019,2Q2019,191,"21,964",90.1%,3.2%,"  21,964 ",,5.9%
14460,"Boston, MA",2019,3Q2019,191,"21,840",91.0%,2.7%,"  21,840 ",,6.5%
16980,"Chicago, IL",2005,4Q2005,181,"29,875",89.0%,,"  29,875 ",,6.4%
16980,"Chicago, IL",2006,1Q2006,181,"29,873",89.4%,,"  29,873 ",,8.2%
16980,"Chicago, IL",2006,2Q2006,182,"30,089",89.6%,,"  30,089 ",,8.4%
16980,"Chicago, IL",2006,3Q2006,186,"30,585",88.7%,,"  30,585 ",,7.0%
16980,"Chicago, IL",2006,4Q2006,189,"31,058",87.9%,2.9%,"  31,058 ",,6.8%
16980,"Chicago, IL",2007,1Q2007,191,"31,298",88.4%,2.5%,"  31,298 ",,6.4%
16980,"Chicago, IL",2007,2Q2007,190,"31,384",88.2%,3.6%,"  31,384 ",,6.3%
16980,"Chicago, IL",2007,3Q2007,190,"31,379",88.7%,2.8%,"  31,379 ",,6.9%
16980,"Chicago, IL",2007,4Q2007,191,"31,888",88.1%,3.0%,"  31,888 ",,6.4%
16980,"Chicago, IL",2008,1Q2008,192,"32,280",87.8%,3.2%,"  32,280 ",,8.8%
16980,"Chicago, IL",2008,2Q2008,195,"32,549",87.1%,2.5%,"  32,549 ",,8.1%
16980,"Chicago, IL",2008,3Q2008,199,"32,818",86.7%,2.7%,"  32,818 ",,7.5%
16980,"Chicago, IL",2008,4Q2008,200,"33,165",85.8%,2.1%,"  33,165 ",,6.1%
16980,"Chicago, IL",2009,1Q2009,202,"33,472",84.7%,2.1%,"  33,472 ",,5.1%
16980,"Chicago, IL",2009,2Q2009,207,"33,991",83.6%,2.5%,"  33,991 ",,3.5%
16980,"Chicago, IL",2009,3Q2009,207,"34,075",84.4%,2.0%,"  34,075 ",,3.7%
16980,"Chicago, IL",2009,4Q2009,208,"34,174",84.5%,2.3%,"  34,174 ",,3.8%
16980,"Chicago, IL",2010,1Q2010,208,"34,405",83.8%,2.7%,"  34,405 ",,2.8%
16980,"Chicago, IL",2010,2Q2010,209,"34,446",84.1%,1.5%,"  34,446 ",,4.3%
16980,"Chicago, IL",2010,3Q2010,210,"34,317",84.7%,1.6%,"  34,317 ",,4.6%
16980,"Chicago, IL",2010,4Q2010,212,"34,673",84.4%,1.1%,"  34,673 ",,4.3%
16980,"Chicago, IL",2011,1Q2011,212,"34,698",84.7%,0.9%,"  34,698 ",,5.2%
16980,"Chicago, IL",2011,2Q2011,211,"34,688",84.6%,1.3%,"  34,688 ",,5.6%
16980,"Chicago, IL",2011,3Q2011,211,"34,686",85.0%,1.8%,"  34,686 ",,6.0%
16980,"Chicago, IL",2011,4Q2011,213,"34,909",84.9%,1.7%,"  34,909 ",,5.6%
16980,"Chicago, IL",2012,1Q2012,215,"35,494",84.1%,1.2%,"  35,494 ",,4.4%
16980,"Chicago, IL",2012,2Q2012,218,"35,845",83.7%,2.0%,"  35,845 ",,3.9%
16980,"Chicago, IL",2012,3Q2012,220,"36,232",84.1%,2.1%,"  36,232 ",,3.6%
16980,"Chicago, IL",2012,4Q2012,222,"36,439",84.0%,2.3%,"  36,439 ",,3.1%
16980,"Chicago, IL",2013,1Q2013,226,"36,781",83.7%,1.8%,"  36,781 ",,2.5%
16980,"Chicago, IL",2013,2Q2013,227,"36,969",83.9%,1.2%,"  36,969 ",,2.5%
16980,"Chicago, IL",2013,3Q2013,229,"37,071",84.5%,0.6%,"  37,071 ",,2.5%
16980,"Chicago, IL",2013,4Q2013,231,"37,036",85.7%,0.9%,"  37,036 ",,2.8%
16980,"Chicago, IL",2014,1Q2014,232,"37,126",85.8%,1.5%,"  37,126 ",,2.6%
16980,"Chicago, IL",2014,2Q2014,232,"37,168",86.2%,1.9%,"  37,168 ",,3.3%
16980,"Chicago, IL",2014,3Q2014,235,"37,543",87.0%,2.2%,"  37,543 ",,3.2%
16980,"Chicago, IL",2014,4Q2014,235,"37,583",87.2%,2.5%,"  37,583 ",,3.9%
16980,"Chicago, IL",2015,1Q2015,236,"37,560",87.6%,2.8%,"  37,560 ",,4.6%
16980,"Chicago, IL",2015,2Q2015,238,"37,730",87.4%,3.0%,"  37,730 ",,6.5%
16980,"Chicago, IL",2015,3Q2015,239,"37,833",87.6%,2.9%,"  37,833 ",,8.4%
16980,"Chicago, IL",2015,4Q2015,242,"38,130",87.9%,2.6%,"  38,130 ",,9.6%
16980,"Chicago, IL",2016,1Q2016,243,"38,176",87.8%,3.4%,"  38,176 ",,10.5%
16980,"Chicago, IL",2016,2Q2016,247,"38,597",87.5%,3.0%,"  38,597 ",,9.8%
16980,"Chicago, IL",2016,3Q2016,252,"39,104",87.7%,3.0%,"  39,104 ",,10.5%
16980,"Chicago, IL",2016,4Q2016,255,"39,601",87.7%,3.0%,"  39,601 ",,10.1%
16980,"Chicago, IL",2017,1Q2017,257,"39,787",87.7%,2.5%,"  39,787 ",,10.6%
16980,"Chicago, IL",2017,2Q2017,262,"40,480",86.5%,1.5%,"  40,480 ",,9.7%
16980,"Chicago, IL",2017,3Q2017,267,"41,084",86.2%,1.1%,"  41,084 ",,9.6%
16980,"Chicago, IL",2017,4Q2017,270,"41,274",86.5%,1.2%,"  41,274 ",,10.2%
16980,"Chicago, IL",2018,1Q2018,273,"41,413",86.6%,1.0%,"  41,413 ",,9.8%
16980,"Chicago, IL",2018,2Q2018,279,"42,382",85.0%,2.5%,"  42,382 ",,7.5%
16980,"Chicago, IL",2018,3Q2018,281,"42,582",86.0%,3.4%,"  42,582 ",,7.7%
16980,"Chicago, IL",2018,4Q2018,285,"43,089",85.7%,3.5%,"  43,089 ",,7.1%
16980,"Chicago, IL",2019,1Q2019,287,"43,322",85.8%,3.6%,"  43,322 ",,7.1%
16980,"Chicago, IL",2019,2Q2019,288,"43,715",85.8%,3.4%,"  43,715 ",,6.4%
16980,"Chicago, IL",2019,3Q2019,294,"44,410",86.1%,3.1%,"  44,410 ",,5.0%
17140,"Cincinnati, OH",2005,4Q2005,49,"8,008",93.6%,,"  8,008 ",,1.3%
17140,"Cincinnati, OH",2006,1Q2006,50,"8,047",93.1%,,"  8,047 ",,0.9%
17140,"Cincinnati, OH",2006,2Q2006,50,"8,048",93.2%,,"  8,048 ",,2.2%
17140,"Cincinnati, OH",2006,3Q2006,50,"8,049",93.4%,,"  8,049 ",,4.7%
17140,"Cincinnati, OH",2006,4Q2006,50,"8,049",93.4%,3.8%,"  8,049 ",,4.7%
17140,"Cincinnati, OH",2007,1Q2007,50,"8,049",92.6%,4.5%,"  8,049 ",,4.7%
17140,"Cincinnati, OH",2007,2Q2007,50,"8,049",92.5%,2.1%,"  8,049 ",,4.7%
17140,"Cincinnati, OH",2007,3Q2007,50,"8,120",92.5%,3.1%,"  8,120 ",,5.3%
17140,"Cincinnati, OH",2007,4Q2007,50,"8,121",92.6%,4.6%,"  8,121 ",,9.4%
17140,"Cincinnati, OH",2008,1Q2008,53,"8,439",90.7%,3.7%,"  8,439 ",,6.7%
17140,"Cincinnati, OH",2008,2Q2008,53,"8,439",91.2%,4.2%,"  8,439 ",,7.0%
17140,"Cincinnati, OH",2008,3Q2008,53,"8,438",90.6%,4.5%,"  8,438 ",,7.1%
17140,"Cincinnati, OH",2008,4Q2008,54,"8,564",88.6%,3.0%,"  8,564 ",,5.5%
17140,"Cincinnati, OH",2009,1Q2009,54,"8,564",88.7%,2.6%,"  8,564 ",,5.5%
17140,"Cincinnati, OH",2009,2Q2009,55,"8,669",87.9%,1.7%,"  8,669 ",,4.3%
17140,"Cincinnati, OH",2009,3Q2009,56,"8,829",86.4%,2.0%,"  8,829 ",,3.8%
17140,"Cincinnati, OH",2009,4Q2009,56,"8,829",86.6%,1.8%,"  8,829 ",,3.8%
17140,"Cincinnati, OH",2010,1Q2010,56,"8,828",85.1%,2.4%,"  8,828 ",,4.0%
17140,"Cincinnati, OH",2010,2Q2010,56,"8,828",85.1%,2.3%,"  8,828 ",,4.0%
17140,"Cincinnati, OH",2010,3Q2010,57,"9,040",83.6%,2.3%,"  9,040 ",,3.1%
17140,"Cincinnati, OH",2010,4Q2010,57,"9,061",83.6%,2.2%,"  9,061 ",,3.8%
17140,"Cincinnati, OH",2011,1Q2011,57,"9,059",83.6%,1.5%,"  9,059 ",,4.7%
17140,"Cincinnati, OH",2011,2Q2011,58,"9,299",82.2%,2.7%,"  9,299 ",,2.7%
17140,"Cincinnati, OH",2011,3Q2011,59,"9,457",82.4%,2.4%,"  9,457 ",,0.5%
17140,"Cincinnati, OH",2011,4Q2011,59,"9,432",83.9%,1.5%,"  9,432 ",,1.1%
17140,"Cincinnati, OH",2012,1Q2012,59,"9,427",84.0%,3.7%,"  9,427 ",,1.1%
17140,"Cincinnati, OH",2012,2Q2012,59,"9,477",85.2%,3.0%,"  9,477 ",,0.6%
17140,"Cincinnati, OH",2012,3Q2012,59,"9,414",86.1%,3.2%,"  9,414 ",,0.8%
17140,"Cincinnati, OH",2012,4Q2012,59,"9,439",86.8%,3.0%,"  9,439 ",,0.5%
17140,"Cincinnati, OH",2013,1Q2013,59,"9,468",87.2%,1.3%,"  9,468 ",,0.4%
17140,"Cincinnati, OH",2013,2Q2013,59,"9,452",88.2%,-0.2%,"  9,452 ",,0.2%
17140,"Cincinnati, OH",2013,3Q2013,59,"9,451",89.5%,-0.7%,"  9,451 ",,0.2%
17140,"Cincinnati, OH",2013,4Q2013,59,"9,452",89.8%,-1.1%,"  9,452 ",,0.9%
17140,"Cincinnati, OH",2014,1Q2014,59,"9,452",90.2%,-0.7%,"  9,452 ",,0.9%
17140,"Cincinnati, OH",2014,2Q2014,59,"9,449",90.5%,1.4%,"  9,449 ",,1.9%
17140,"Cincinnati, OH",2014,3Q2014,59,"9,443",91.3%,3.2%,"  9,443 ",,3.3%
17140,"Cincinnati, OH",2014,4Q2014,59,"9,421",91.7%,3.6%,"  9,421 ",,6.8%
